com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Short-crested Flycatcher,Myiarchus ferox,Myiarchus ferox,Myiarchus ferox,0,
Planalto Hermit,Phaethornis pretrei,Phaethornis pretrei,Phaethornis pretrei,0,
Variegated Flycatcher,Empidonomus varius,Empidonomus varius,Empidonomus varius,0,
Crested Becard,Pachyramphus validus,Pachyramphus validus,Pachyramphus validus,0,
Drab-breasted Pygmy-Tyrant,Hemitriccus diops,Hemitriccus diops,Hemitriccus diops,0,
Gray-capped Tyrannulet,Phyllomyias griseocapilla,Phyllomyias griseocapilla,Phyllomyias griseocapilla,0,
Ochre-rumped Antbird,Drymophila ochropyga,Drymophila ochropyga,Drymophila ochropyga,0,
Maroon-bellied Parakeet,Pyrrhura frontalis,Pyrrhura frontalis,Pyrrhura frontalis,0,
Diuca Finch,Diuca diuca,Diuca diuca,Diuca diuca,0,
Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,Leptasthenura aegithaloides,Leptasthenura aegithaloides,0,
White-crested Elaenia,Elaenia albiceps,Elaenia albiceps,Elaenia albiceps,0,
Austral Blackbird,Curaeus curaeus,Curaeus curaeus,Curaeus curaeus,0,
Black Noddy,Anous minutus,Anous minutus,Anous minutus,0,
Indigo Macaw,Anodorhynchus leari,Anodorhynchus leari,Anodorhynchus leari,0,
Scaled Dove,Columbina squammata,Columbina squammata,Columbina squammata,0,
White-naped Jay,Cyanocorax cyanopogon,Cyanocorax cyanopogon,Cyanocorax cyanopogon,0,
Picui Ground Dove,Columbina picui,Columbina picui,Columbina picui,0,
Plain-breasted Ground Dove,Columbina minuta,Columbina minuta,Columbina minuta,0,
Blue-black Grassquit,Volatinia jacarina,Volatinia jacarina,Volatinia jacarina,0,
Saffron-billed Sparrow,Arremon flavirostris,Arremon flavirostris,Arremon flavirostris,0,
Double-collared Seedeater,Sporophila caerulescens,Sporophila caerulescens,Sporophila caerulescens,0,
Surucua Trogon,Trogon surrucura,Trogon surrucura,Trogon surrucura,0,
